place_id,nome,endereco,capital_busca,motivo_descarte,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social
ChIJEbaEK_X1zpQR5zMLUPhrkUE,Légola Board Games,"Rua Thomaz Cyro Pozzi, pozzy, 564 - Vila Nova Carolina, São Paulo - SP, 02263-030, Brazil",São Paulo,categoria_incompativel,association_or_organization;point_of_interest;establishment,5,16,http://legola.lends.com.br/
ChIJEfNOc4UZuAARnwoxzE7NVto,"Lê Fiesta Brinquedos , Inflaveis e Recreaçao","Av. Dr. Herwan Modenese Wanderley - Jardim Camburi, Vitória - ES, 29090-640, Brazil",Vitória,categoria_incompativel,event_venue;store;point_of_interest;service;establishment,5,1,
ChIJAR0X1w3mhpQRNkcz7rqI-_s,MAGIC GAMES,"R. Quitanda - Jardim Joquei Club, Campo Grande - MS, 79080-105, Brazil",Campo Grande,categoria_incompativel,amusement_center;point_of_interest;establishment,2.9,28,
ChIJ13tVZII7jgcRdhfcylICMFw,MEDUZZA - Bar and Cocktail,"Rua Professor Darcy Araujo - Av. Homero Castelo Branco, 280b - São Cristóvão, Teresina - PI, 64051-040, Brazil",Teresina,sem_termo_chave,cocktail_bar;irish_pub;pub;greek_restaurant;bar;night_club;restaurant;food;point_of_interest;establishment,4.3,72,https://wa.me/5586994234110
ChIJk87KXwA5jgcRzPPjmcCTc74,MM diversões,"Av. Mar. Castelo Branco, 911 - Porenquanto, Teresina - PI, 64006-087, Brazil",Teresina,sem_termo_chave,point_of_interest;establishment,1,2,
ChIJYXJlOcfxXpMR0JppZVJkSa4,MOEMA Sunset and Night,"R. 146, 509 - St. Marista, Goiânia - GO, 74170-090, Brazil",Goiânia,sem_termo_chave,night_club;bar;restaurant;point_of_interest;food;establishment,4,185,
ChIJ94K9AAA5jgcRIvGaAXnIVK4,MUXOXO BAR,"R. Lisandro Nogueira, 1869 - Centro (Sul), Teresina - PI, 64000-200, Brazil",Teresina,sem_termo_chave,bar;point_of_interest;establishment,4.3,27,https://www.instagram.com/muxoxobar?igsh=MXBsNjlnbGRkd3F5cg==
ChIJ9UCLEw7drAcRhuO_KhUP7qM,Mag Shopping João Pessoa,"Av. Gov. Flávio Ribeiro Coutinho, 115 - Manaíra, João Pessoa - PB, 58037-000, Brazil",João Pessoa,sem_termo_chave,shopping_mall;coworking_space;womens_clothing_store;snack_bar;meal_takeaway;movie_theater;beauty_salon;medical_clinic;clothing_store;restaurant;food;store;point_of_interest;health;service;establishment,4.5,23678,http://www.magshopping.com.br/
ChIJ2_9lOAkAswcRQungTOiq-AU,Magic Games,"Av. Roberto Freire, 340, Shopping Cidade Jardim - Capim Macio, Natal - RN, 59080-900, Brazil",Natal,categoria_incompativel,toy_store;store;service;point_of_interest;establishment,4.4,425,https://www.instagram.com/magicgamesnatal/
ChIJMYNbjXyOpJIRWBmqMSlEcBQ,Mago Jogos,"Condomínio do Edifício Francisca Julia - Av. Serzedelo Corrêa, 1157 - Batista Campos, Belém - PA, 66033-770, Brazil",Belém;Manaus,categoria_incompativel,point_of_interest;association_or_organization;establishment,4.8,19,http://magojogos.com.br/
ChIJE4n21clFAQcR9QtjLnimTd8,Maikai,"Av. Eng. Paulo Brandão Nogueira, 540 - Jatiúca, Maceió - AL, 57036-540, Brazil",Maceió,sem_termo_chave,cocktail_bar;brewery;bar;liquor_store;restaurant;point_of_interest;service;store;food;manufacturer;establishment,4.4,5801,https://www.maikaimaceio.com.br/
ChIJXb-ofZazGgcRcDRJDnpKkQM,Malibu Bar,"Av. Pedro Paes Azevedo, 757 - Grageru, Aracaju - SE, 49025-570, Brazil",Aracaju,sem_termo_chave,bar;point_of_interest;establishment,4.3,728,
ChIJp4Zlq9g3J5URVXYuSAopakc,Man Cave Store - Unidade Florianópolis,"Rua General Liberato Bitencourt, 1885 Loja 2 e 3 , Subsolo - Supermercado Imperatriz - Canto, Florianópolis - SC, 88070-800, Brazil",Florianópolis,sem_termo_chave,store;point_of_interest;establishment,4.8,98,
ChIJndA-gWmPpJIRAh93GDKlu_M,Manga Jambú,"R. Cônego Jerônimo Pimentel, 373 - Umarizal, Belém - PA, 66055-030, Brazil",Belém,sem_termo_chave,restaurant;cocktail_bar;bar;point_of_interest;food;establishment,4.4,1362,https://beacons.ai/oficialmangajambu
ChIJIzirfVKjGgcRtx8ekjEvnFk,Mango Bar de Praia,"Rod. Inácio Barbosa, 30 - Mosqueiro, Aracaju - SE, 49039-100, Brazil",Aracaju,sem_termo_chave,bar;live_music_venue;event_venue;point_of_interest;establishment,4.7,472,https://instagram.com/mangobardepraia?igshid=N2ZiY2E3YmU=
ChIJV6LiHPcYqwcRlz0JRjCWbnE,Mano's Games,"frente ao china 48 delivery - Rua Conselheiro Portela, 665 - Lj 05 De - Espinheiro, Recife - PE, 52020-020, Brazil",Recife,categoria_incompativel,store;point_of_interest;establishment,4.7,66,
ChIJzwRtwSFPxwcRXRop3SGwhLo,Mansão Toretto,"R. 4 (Cj. Campo dos Inglêses), 288 - Jardim Cearense, Fortaleza - CE, 60860-528, Brazil",Fortaleza,sem_termo_chave,point_of_interest;association_or_organization;establishment,4.5,4,
ChIJjVg0h1BJJ5UR656inTUt6ac,Mané Lúdico,"R. Vereador, Pedro Medeiros, 100 - Serraria, São José - SC, 88115-250, Brazil",Florianópolis,sem_termo_chave,association_or_organization;point_of_interest;establishment,5,23,https://www.maneludico.com.br/
ChIJVcCFrI2zGgcRrKwhtkZ-ysk,Marcela Presentes,"Av. Pedro Valadares, 811 - Grageru, Aracaju - SE, 49025-090, Brazil",Aracaju,sem_termo_chave,point_of_interest;establishment,4.2,24,
ChIJnaSy0Z0bFgcREAL6m7PrajA,Marcos Brito Game Designer,"R. Eugênio Ribeiro - Doron, Salvador - BA, 41194-120, Brazil",Salvador,categoria_incompativel,association_or_organization;point_of_interest;establishment,,,
ChIJlxQaoWgRFgcRsFdTNAsIgAI,Mariba´s Gastrobar,"Avenida Ulisses Guimarães Camelódromo - Sussuarana, Salvador - BA, 41215-770, Brazil",Salvador,sem_termo_chave,bar;point_of_interest;establishment,4.8,27,https://www.instagram.com/maribasgastrobar/
ChIJkfiNabA9uAARmmUoUR2X6Rk,Marketplace Imports,"Rua General Osório, 127, Condomínio do Edifício A Gazeta sala 1104 - Centro, Vitória - ES, 29010-035, Brazil",Vitória,sem_termo_chave,store;point_of_interest;establishment,4.9,819,
ChIJ93U0FNlcMpIR58xxQhIUess,Mary Janne Bar,"Av. Carlos Gomes, 543 - Caiari, Porto Velho - RO, 76801-166, Brazil",Porto Velho,sem_termo_chave,bar;point_of_interest;establishment,4.6,369,https://www.facebook.com/maryjannebar/
ChIJn2Kr8VhDJ5URitVmcmBml7U,Maré de Jogos,"R. Abel Álvares Cabral Júnior, 646 - Ingleses do Rio Vermelho, Florianópolis - SC, 88058-580, Brazil",Florianópolis,categoria_incompativel,association_or_organization;point_of_interest;establishment,5,14,https://maredejogos.com.br/
ChIJRcoj20fVG5URBISzTJ70bH0,Masmorra Board Games,"Av. Brasilia, 258 - Coronel Nassuca, Guaíba - RS, 92701-710, Brazil",Porto Alegre,categoria_incompativel,store;point_of_interest;establishment,4.9,87,https://www.masmorra.com.br/
ChIJGfYibDNDMpIRHDhkwnRNmBc,Maternar e Brincar,"R. Sebastião Barrozo, 1432 - Pedrinhas, Porto Velho - RO, 76801-514, Brazil",Porto Velho,sem_termo_chave,amusement_center;point_of_interest;establishment,4.8,96,http://www.maternarebrincar.wordpress.com/
ChIJnXkS431FAQcROUxKASeZrKk,Matrix Games,"Rua do Livramento, 245 - Sl 10 - Centro, Maceió - AL, 57020-030, Brazil",Maceió,categoria_incompativel,store;point_of_interest;establishment,4.2,146,http://www.facebook.com/matrixgame
ChIJ7dY1rZ4bbJIROoUugyZBFlk,Meet Cozinha Boêmia,"R. Rio Mar, 58 - Nossa Sra. das Graças, Manaus - AM, 69053-120, Brazil",Manaus,sem_termo_chave,restaurant;food;point_of_interest;establishment,4.5,451,https://pedir.delivery/bulldogsteakburger
ChIJVwjVEFxIAQcRmMyYF-hi56Q,Meeting of Friends,"Por Trás do 5° Distrito - R. Pedrosa, 390 - Tabuleiro do Martins, Maceió - AL, 57081-510, Brazil",Maceió,sem_termo_chave,bar;point_of_interest;establishment,4.6,298,
ChIJyZEDO2ZIAQcRJXz4rw1Sf1E,Megapixel Gráfica e Comunicação Visual,"Av. Francisco Afonso de Melo, 254 - Santa Lúcia, Maceió - AL, 57082-065, Brazil",Maceió,sem_termo_chave,service;store;point_of_interest;establishment,5,50,https://wa.me/message/GCPBAK652BDGF1
ChIJk7mYt4TxXpMRbJ00zDYXB5E,Melhor Quintal - Brinquedoteca e Espaço Infantil,"Rua 1141, qd 246 - Lt 46 - St. Marista, Goiânia - GO, 74180-081, Brazil",Goiânia,categoria_incompativel,point_of_interest;establishment,4.7,51,https://melhorquintal.com.br/
ChIJleY4oWfphpQRvVHngIcsHdk,Meninus Games,"R. Marquês de Lavradio, 626 - Sl 04 - Jardim Sao Lourenco, Campo Grande - MS, 79041-340, Brazil",Campo Grande,categoria_incompativel,store;point_of_interest;establishment,4.8,24,https://www.instagram.com/meninusgames/
ChIJwSmuT9cFbJIR5I53d9m7HgE,Mercadia Game Store,"R. Rio Jutaí, 90 - Vieiralves - Nossa Sra. das Gracas, Manaus - AM, 69053-020, Brazil",Manaus,categoria_incompativel,toy_store;point_of_interest;store;establishment,4.9,43,https://www.mercadiastore.com.br/
ChIJxe7p5Eo7WpMRd0sHLko77kU,Mercado RPG,"SCLRN 714 B. F, 34 - Asa Norte, Brasília - DF, 70760-556, Brazil",Brasília,sem_termo_chave,store;point_of_interest;establishment,4.9,277,https://www.mercadorpg.com.br/
ChIJ_beygtnl3JQRGVpHZhzQkPE,Meruru,"Av. Silva Jardim, 960A - Rebouças, Curitiba - PR, 80230-000, Brazil",Curitiba,sem_termo_chave,toy_store;store;point_of_interest;establishment,4.7,534,http://meruru.com.br/
ChIJCQjbhkDWASUR619JgvbzdFs,Mesa & Dados RPG,"R. Basílio da Gama, 430 - Jardim Limoeiro, Serra - ES, 29164-355, Brazil",Vitória,categoria_incompativel,association_or_organization;point_of_interest;establishment,5,15,https://www.instagram.com/mesaedados/
ChIJodgIpnqXpgARiTbkZYfHB9o,Mesa de jogos de tabuleiro,"Rua Dr. Juvenal dos Santos, 149 - Luxemburgo, Belo Horizonte - MG, 30380-530, Brazil",Belo Horizonte,categoria_incompativel,park;point_of_interest;establishment,5,1,
ChIJ2e6AJgBJxwcRN3zE9-WnEmc,Mestre Sussa,"Av. Beira Mar, 3222 - Meireles, Fortaleza - CE, 60165-121, Brazil",Fortaleza,sem_termo_chave,cocktail_bar;bar;point_of_interest;establishment,4.9,3833,https://mestresussa.com.br/
ChIJoeQuwKR9mQAR1JAwaMPE_cE,Metrópolis Quadrinhos,"R. Dias da Cruz, 203 - Lj 11 Galeria - Méier, Rio de Janeiro - RJ, 20720-010, Brazil",Rio de Janeiro,sem_termo_chave,book_store;store;point_of_interest;establishment,4.7,532,
ChIJTzjjJ1tVsgcRvCcc-NlBmOM,Meu Barraco Boteco Bistrô,"R. Justino Xavier de Souza, 2215 - Lagoa Nova, Natal - RN, 59062-340, Brazil",Natal,sem_termo_chave,bar;restaurant;point_of_interest;food;establishment,4.6,1175,http://facebook.com/MeuBarracoBotecoBistro/
ChIJN-RCGj1FxwcRjMgvUvzIM0A,Mezuzá,"Rua Professor Solon Farias - Sapiranga-Coité, Fortaleza - CE, 60822-210, Brazil",Fortaleza,sem_termo_chave,association_or_organization;store;point_of_interest;establishment,5,2,https://mezuza.com.br/
ChIJQbrqaADNJJMROFw2nI7hmSs,MiniHub - Espaço Infantil - Brinquedoteca,"Quadra 110N - Av. Juscelino Kubitscheck, LT 21 - Plano Diretor Norte, Palmas - TO, 77006-130, Brazil",Palmas,categoria_incompativel,amusement_center;point_of_interest;establishment,5,1,
ChIJ_2rRoVuxGgcRJ4HRTiX5Tpg,"Misael fest kids locação de brinquedos em Aracaju, aluguel de futebol de sabão, touro mecânico p festas e eventos","R. Ferroviário José Matias de Siqueira - São Conrado, Aracaju - SE, 49042-720, Brazil",Aracaju,categoria_incompativel,service;point_of_interest;establishment,5,73,https://www.misaelfestkids.org/
ChIJebdtaBEYuAARnYPV_a2bTAg,Mistura's Bar,"R. Pres. Rodrigues Alves, 150 - Republica, Vitória - ES, 29070-145, Brazil",Vitória,sem_termo_chave,bar;restaurant;food;point_of_interest;establishment,4.5,2833,https://www.instagram.com/misturasbar/
ChIJy51zYEeZpgAR-ST-UpK6GA4,"Mito Bar BH - Balada, bar e drinks","Rua Pium-Í, 672 - Cruzeiro, Belo Horizonte - MG, 30310-080, Brazil",Belo Horizonte,sem_termo_chave,night_club;cocktail_bar;bar;point_of_interest;establishment,4.2,1949,https://www.instagram.com/mitobarbh/
ChIJI00DNeIXuAAR6zsaUxQnV5s,Mito Games LTDA,"Condomínio do Edifício Nacap - Alameda Mari Ubirajara, 40 - sala 208 - Santa Lucia, Vitória - ES, 29056-030, Brazil",Vitória,categoria_incompativel,point_of_interest;service;establishment,4.8,19,http://www.mitogames.com.br/
ChIJ5Q9iJKkbbJIRMy9iiArpzi8,Mizura Bar,"R. Rio Itannana, 103 - Nossa Sra. das Gracas, Manaus - AM, 69053-040, Brazil",Manaus,sem_termo_chave,cocktail_bar;wine_bar;coffee_shop;cafe;pub;bar;food_store;restaurant;food;store;point_of_interest;establishment,4.8,112,https://www.instagram.com/mizurabar/
ChIJJ216gWsbqwcRgjCwj5wYp-0,Mochila Geek,"Av. Dr. Belmino Correia, 2318 - Timbi, Camaragibe - PE, 54762-303, Brazil",Recife,sem_termo_chave,toy_store;store;point_of_interest;establishment,4.9,147,http://www.mochilageek.com.br/
ChIJ7yzA_VCQ9gcRdhiVsB8Om60,Momentos Felizes_Buffet Infantil e Brinquedos,"R. Dez, 19C - Cohab Anil I, São Luís - MA, 65053-060, Brazil",São Luís,categoria_incompativel,corporate_office;point_of_interest;establishment,4,2,
ChIJXRMT-d-ZpgARapyUC5yN3m0,Montê Bar - Restaurante,"Praça Rui Barbosa, 104 - Centro, Belo Horizonte - MG, 30160-000, Brazil",Belo Horizonte,sem_termo_chave,cocktail_bar;bar;restaurant;food;point_of_interest;establishment,4.8,12261,https://instagram.com/monte.beaga?igshid=MzRlODBiNWFlZA==
ChIJY3LS28djmQAR0OprvQN43hY,Mu Drow,"R. Moraes Pinheiro, 1367 - Ricardo de Albuquerque, Rio de Janeiro - RJ, 21640-260, Brazil",Rio de Janeiro,sem_termo_chave,association_or_organization;point_of_interest;establishment,5,1,
ChIJ376o2QMrCgEREW6UPr-oVV0,Mulligan Resto Pub,"Av. Dr. Nilo Peçanha, 3228 - Jardim Europa, Porto Alegre - RS, 90470-000, Brazil",Porto Alegre,sem_termo_chave,restaurant;bar;point_of_interest;food;establishment,4.4,1309,http://www.mulligan.com.br/
ChIJFwbfbrdFAQcRpl7Uf70zEK8,Multibrinque Maceió - Aluguel de Brinquedos e Acessórios para o dia a dia,"R. Antônia Alves Carvalho Leite, 1118 A - Jatiúca, Maceió - AL, 57036-040, Brazil",Maceió,categoria_incompativel,toy_store;store;point_of_interest;establishment,5,546,https://multibrinque.com.br/maceio/
ChIJDWxbmU7phpQRJ12eAtIDuLQ,Multiverso Tabuleiros - Aluguel de Jogos de Tabuleiro em Campo Grande,"R. Sebastião Lima, 1388 - Jardim Sao Bento, Campo Grande - MS, 79004-600, Brazil",Boa Vista;Campo Grande,categoria_incompativel,toy_store;association_or_organization;store;point_of_interest;establishment,5,78,https://multiversotabuleiros.acervodejogos.com.br/
ChIJn0T8FpvnhpQR19Mlnj2G2rQ,Mundo CJ - Aluguel de Jogos de Tabuleiro,"R. Barão de Mauá, 300 - Santo Antonio, Campo Grande - MS, 79100-630, Brazil",Campo Grande,categoria_incompativel,point_of_interest;store;establishment,,,https://www.mundocj.com.br/
ChIJw-9MRWYbFgcR-HRrfEVbZEY,Mundo Colorê - Aluguel de Brinquedos,"R. Elesbão do Carmo, 112 - Jardim Armação, Salvador - BA, 41750-260, Brazil",Salvador,categoria_incompativel,amusement_center;point_of_interest;service;establishment,5,1,
ChIJV12csB6vnZMRr7vaEXwfRnY,Mundo Dos Playgrounds,"Rua 3, 200 78090-593 - Sala B - Jardim Comodoro, Cuiabá - MT, 78090-593, Brazil",Cuiabá,sem_termo_chave,playground;point_of_interest;establishment,4.4,24,https://instagram.com/mundodosplaygraunds_mt?igshid=MzRlODBiNWFlZA==
ChIJr_hM6WQXuAARt-tsDdE1B7U,Mundo Geek Vitoria,"Shopping Vitória Shopping Vitória, 200 - Enseada do Suá, Vitória - ES, 29050-902, Brazil",Vitória,sem_termo_chave,point_of_interest;association_or_organization;service;store;establishment,4.8,13,
ChIJ1U_4x5oRFgcRNXdAsLSoQ9I,Mundo Gira Brinquedos,"R. Cecília Meireles, 13 - Castelo Branco, Salvador - BA, 41320-675, Brazil",Salvador,categoria_incompativel,amusement_center;point_of_interest;service;establishment,5,587,https://mundogirabrinquedos.com.br/
ChIJXVVVLTnxXpMRByNuMFiFypM,Mundo Girafa Brinquedos,"Av. Castelo Branco, 633 - R26 - St. Bueno, Goiânia - GO, 74210-185, Brazil",Goiânia,categoria_incompativel,toy_store;indoor_playground;playground;point_of_interest;store;manufacturer;establishment,4.5,39,https://www.mundogirafa.com.br/
ChIJ2UKjW1iMf5ERByyrivOQGSY,Mundo Kids,"R. Quintino Bocaiuva, 1572 - Bosque, Rio Branco - AC, 69909-400, Brazil",Rio Branco,sem_termo_chave,toy_store;store;point_of_interest;establishment,4,55,https://linktr.ee/Mundokidsacre
ChIJvare58HdrAcRXs97VKU8QA8,Mundo Loki,"R. Maj. Álvaro Monteiro - Lot. Maj. Barros, João Pessoa - PB, 58028-270, Brazil",João Pessoa,sem_termo_chave,point_of_interest;establishment,,,
ChIJ85vQQj7CrAcR5VnMKrj0Vo0,Mundo da diversão Locações de Brinquedos,"Osorio Muniz Brito Brasil - Mangabeira, João Pessoa - PB, 58056-100, Brazil",João Pessoa,categoria_incompativel,point_of_interest;service;establishment,4.6,19,
ChIJoQhH9KaqswcR7Tgn6Sa_Rsg,Mundo das Sinucas - Loja 1,"R. Amaro Barreto, 1221 - Alecrim, Natal - RN, 59040-450, Brazil",Natal,sem_termo_chave,sporting_goods_store;point_of_interest;store;establishment,4.6,34,https://telepesquisa.com/rn/empresas/d/mundo-das-sinucas-alecrim
ChIJQ1Dw__NIAQcRNXJJQxaP7EM,Mundo do Real,"Av. Maceió, 876 - Tabuleiro do Martins, Maceió - AL, 57061-110, Brazil",Maceió,sem_termo_chave,home_goods_store;store;point_of_interest;service;establishment,4.4,22,https://instagram.com/mundodo.real?igshid=YmMyMTA2M2Y=
ChIJud1petjphpQRP-zWwQwiPgo,Mundo encantado brinquedos,"R. Júlio Prestes, 1269 - Nova Lima, Campo Grande - MS, 79017-024, Brazil",Campo Grande,categoria_incompativel,point_of_interest;establishment,,,https://www.instagram.com/mundo_encantado_abc_?igsh=MW9ndjFhZW1veDRhcA==&utm_source=qr
ChIJPzFX2EVFAQcRERBfWGSTHis,Mundo kids aluguel de brinquedos,"R. São Jorge, 63 - Barro Duro, Maceió - AL, 57045-620, Brazil",Maceió,categoria_incompativel,toy_store;point_of_interest;store;establishment,4.6,10,http://www.mundokidsbrinquedos.com.br/
ChIJn-dZ8xxZzpQR0Fk7YSpK4aU,My Fucking Comedy Club,"Alameda Santos, 1518 - Cj 71/72 - Jardim Paulista, São Paulo - SP, 01418-102, Brazil",São Paulo,sem_termo_chave,comedy_club;cocktail_bar;hamburger_restaurant;pub;philharmonic_hall;bar;american_restaurant;restaurant;food;point_of_interest;establishment,4.7,1595,https://www.myfuckingcomedyclub.com/
ChIJkb-xXLTohpQRV2uA3ZMrc-M,Mystical Space - Seu jogo começa aqui,"Av. Três Barras, 17 - Vila Vilas Boas, Campo Grande - MS, 79051-290, Brazil",Campo Grande,categoria_incompativel,toy_store;association_or_organization;store;point_of_interest;establishment,4.9,162,http://www.mysticalspace.com.br/
ChIJU-tU3o5FAQcRJiJmUu_0Uas,NLV Variedades,"Av. Rui Barbosa, número 34 - Cruz das Almas, Maceió - AL, 57038-166, Brazil",Maceió,sem_termo_chave,home_goods_store;service;point_of_interest;store;establishment,4.5,10,
